borrower_id,first_name,last_name,age,gender,marital_status,distance_from_branch_miles,education_level,occupation_sector,num_previous_lenders,total_employment_years,account_open_date,default_flag
1,Linda,Smith,42,Female,Married,10,Bachelor's,Human Resources,0,21,2004-01-01,1
3,Jessica,Jones,36,Female,Divorced,8,Bachelor's,Medical,1,22,2004-01-01,0
4,Linda,Moore,32,Female,Married,19,Bachelor's,Life Sciences,1,11,2014-01-01,0
5,Jennifer,Jackson,19,Female,Single,3,No Degree,Medical,1,1.1,2023-01-01,0
6,Margaret,Johnson,29,Female,Married,10,Bachelor's,Medical,4,13,2012-12-31,0
7,James,Williams,31,Male,Divorced,7,Master's,Life Sciences,3,11,2016-12-31,0
8,Richard,Davis,30,Male,Married,26,Master's,Marketing,0,4,2020-12-31,0
9,Dorothy,Martin,31,Female,Married,1,No Degree,Life Sciences,1,4,2020-01-01,0
10,Mary,Moore,29,Female,Married,2,No Degree,Life Sciences,0,4,2020-12-31,0
11,Richard,Moore,35,Male,Single,1,Bachelor's,Medical,1,6,2017-12-31,1
13,Sandra,Jackson,25,Female,Single,4,Bachelor's,Life Sciences,1,1,2023-01-01,0
14,Charles,Smith,39,Male,Single,23,Bachelor's,Medical,0,6.6,2019-01-01,1
16,Christopher,Rodriguez,27,Male,Divorced,4,Some College,Life Sciences,1,5.5,2019-01-01,0
17,William,Miller,34,Male,Divorced,19,Some College,Medical,0,3.3,2022-01-01,0
18,Christopher,Brown,20,Male,Single,3,Bachelor's,Life Sciences,1,2.2,2022-01-01,0
19,Jennifer,Gonzalez,47,Female,Married,2,Some College,Marketing,0,8,2016-12-31,0
20,Michael,Lopez,33,Male,Single,1,Master's,Other,1,11,2014-01-01,0
21,Daniel,Martin,43,Male,Divorced,6,Master's,Other,4,21,2023-01-01,0
22,Sarah,Johnson,34,Female,Divorced,6,Some College,Marketing,0,3,2022-01-01,1
23,Sandra,Moore,35,Female,Divorced,2,Bachelor's,Life Sciences,1,1.1,2023-01-01,1
24,Michael,Gonzalez,43,Male,Single,2,Some College,Technical Degree,0,9,2016-01-01,1
25,Jennifer,Moore,36,Female,Single,18,No Degree,Medical,1,8.8,2016-01-01,0
26,Thomas,Martin,57,Male,Married,6,Some College,Medical,8,7,2022-01-01,0
28,Richard,Williams,36,Male,Single,2,Master's,Life Sciences,3,7.7,2020-12-31,1
29,John,Davis,53,Male,Single,2,No Degree,Medical,7,31,2015-01-01,0
30,Karen,Williams,37,Female,Single,1,Bachelor's,Life Sciences,1,17,2007-01-01,0
31,Jessica,Brown,49,Female,Married,6,No Degree,Life Sciences,2,33,2008-12-31,0
33,Mark,Lopez,31,Male,Single,9,Some College,Medical,0,4,2020-12-31,0
34,David,Lopez,26,Male,Divorced,17,Some College,Medical,1,11,2014-01-01,0
35,Daniel,Miller,38,Male,Married,9,Doctoral/Professional,Life Sciences,9,5.5,2020-12-31,0
36,Charles,Williams,48,Male,Single,6,Bachelor's,Life Sciences,2,20.9,2022-01-01,0
38,Kimberly,Davis,43,Female,Single,28,Some College,Technical Degree,1,21,2003-01-01,0
39,David,Anderson,38,Male,Married,1,Master's,Life Sciences,1,24.2,2001-12-31,0
40,Matthew,Rodriguez,34,Male,Married,11,Bachelor's,Life Sciences,4,14,2014-01-01,0
41,Kimberly,Davis,30,Female,Married,17,Master's,Medical,1,9.9,2015-01-01,0
42,Christopher,Johnson,55,Male,Single,2,No Degree,Medical,4,12,2015-01-01,1
44,Christopher,Gonzalez,40,Male,Single,2,Master's,Life Sciences,2,8,2022-01-01,0
45,Sarah,Williams,32,Female,Single,1,Master's,Life Sciences,2,11,2020-01-01,0
46,Richard,Jackson,21,Male,Single,20,No Degree,Life Sciences,0,5.5,2020-01-01,0
47,Christopher,Miller,25,Male,Married,3,No Degree,Other,1,5,2019-01-01,0
48,Donald,Gonzalez,36,Male,Divorced,15,Bachelor's,Other,7,9,2023-01-01,1
49,Mark,Jones,22,Male,Divorced,21,Some College,Technical Degree,0,2,2023-01-01,0
50,Charles,Jones,44,Male,Divorced,4,Some College,Life Sciences,1,26,1999-01-01,0
51,Jessica,Moore,36,Female,Single,2,Master's,Life Sciences,9,19.8,2008-01-01,0
52,Paul,Rodriguez,33,Male,Single,27,Bachelor's,Life Sciences,1,10,2014-01-01,1
54,Emily,Gonzalez,20,Female,Single,2,Bachelor's,Medical,1,2,2022-01-01,1
55,Daniel,Davis,48,Male,Married,2,Bachelor's,Medical,5,33,2020-01-01,0
56,Barbara,Taylor,42,Female,Married,2,Master's,Life Sciences,1,11,2014-01-01,1
57,Donald,Williams,51,Male,Single,6,Bachelor's,Life Sciences,7,25.3,2004-01-01,0
58,Patricia,Brown,34,Female,Married,1,Master's,Medical,0,4,2020-12-31,0
59,William,Garcia,43,Male,Married,4,Some College,Life Sciences,1,9.9,2015-01-01,0
60,Anthony,Martin,38,Male,Single,23,Bachelor's,Life Sciences,0,11,2015-01-01,0
61,Robert,Gonzalez,26,Male,Married,3,Master's,Medical,1,8,2016-01-01,0
62,Matthew,Martin,42,Male,Single,29,Bachelor's,Medical,4,17.6,2023-01-01,0
63,Sandra,Taylor,30,Female,Married,1,Bachelor's,Life Sciences,6,5,2020-12-31,0
64,Charles,Moore,25,Male,Married,17,Bachelor's,Technical Degree,0,6,2019-01-01,0
65,Mary,Brown,33,Female,Single,26,Master's,Life Sciences,1,9,2015-01-01,1
66,Kimberly,Rodriguez,41,Female,Single,28,Bachelor's,Medical,4,18,2020-12-31,0
67,Christopher,Brown,33,Male,Single,8,Doctoral/Professional,Life Sciences,2,15.4,2024-01-01,0
68,Karen,Wilson,34,Female,Single,2,Master's,Life Sciences,3,18.7,2011-01-01,0
69,David,Anderson,24,Male,Married,2,Some College,Medical,1,8,2016-01-01,0
70,Mary,Rodriguez,51,Female,Single,11,Some College,Technical Degree,3,29,2019-01-01,0
71,Steven,Garcia,32,Male,Married,5,Some College,Life Sciences,1,10,2014-01-01,0
72,Dorothy,Brown,28,Female,Single,2,Bachelor's,Life Sciences,2,12.1,2019-01-01,0
73,Thomas,Taylor,47,Male,Married,4,Some College,Medical,2,25.3,2023-01-01,0
75,Barbara,Lopez,42,Female,Married,7,Master's,Medical,3,26.4,2001-12-31,0
76,Elizabeth,Moore,27,Female,Married,8,Bachelor's,Medical,7,5.5,2020-12-31,0
78,Kenneth,Hernandez,31,Male,Married,20,Bachelor's,Life Sciences,3,13.2,2023-01-01,1
81,Karen,Davis,18,Female,Single,14,Bachelor's,Medical,1,0,2024-01-01,0
82,John,Davis,23,Male,Divorced,2,No Degree,Technical Degree,3,3.3,2024-01-01,0
83,Emily,Williams,30,Female,Single,3,Some College,Life Sciences,3,10,2016-12-31,0
84,Jennifer,Thomas,40,Female,Divorced,1,Bachelor's,Life Sciences,4,13.2,2019-01-01,0
85,Robert,Moore,41,Male,Divorced,10,Bachelor's,Life Sciences,4,23.1,2016-12-31,0
86,William,Jones,53,Male,Single,2,No Degree,Medical,7,34.1,2015-01-01,0
87,Donald,Moore,31,Male,Single,2,Bachelor's,Medical,4,7,2023-01-01,0
88,David,Rodriguez,25,Male,Married,2,No Degree,Medical,9,6.6,2022-01-01,0
90,Anthony,Miller,53,Male,Married,7,Bachelor's,Life Sciences,3,32,2019-01-01,0
91,Paul,Miller,33,Male,Married,18,Doctoral/Professional,Life Sciences,1,9.9,2015-01-01,0
92,Thomas,Gonzalez,45,Male,Divorced,7,Bachelor's,Life Sciences,1,26.4,2000-01-01,0
94,Dorothy,Anderson,45,Female,Single,28,Some College,Technical Degree,1,23.1,2003-01-01,0
95,Linda,Davis,47,Female,Married,2,Some College,Marketing,0,8.8,2016-12-31,0
97,Christopher,Smith,33,Male,Divorced,11,Some College,Marketing,1,5,2019-01-01,0
98,Andrew,Moore,39,Male,Married,7,Some College,Medical,1,23.1,2003-01-01,0
99,Joseph,Jackson,29,Male,Divorced,7,Bachelor's,Marketing,4,14.3,2016-12-31,0
101,Robert,Johnson,28,Male,Single,9,Master's,Life Sciences,1,7,2016-12-31,0
102,Joseph,Williams,26,Male,Single,2,Master's,Life Sciences,2,5.5,2024-01-01,1
103,John,Hernandez,34,Male,Single,7,Bachelor's,Life Sciences,1,9,2015-01-01,1
104,Jennifer,Taylor,51,Female,Married,26,Master's,Marketing,2,29,2004-01-01,0
105,Joseph,Rodriguez,55,Male,Married,20,Some College,Technical Degree,3,13.2,2014-01-01,0
106,Ashley,Miller,46,Female,Divorced,22,Bachelor's,Medical,3,24,2001-12-31,0
107,Paul,Jones,31,Male,Single,2,Bachelor's,Life Sciences,0,4,2020-12-31,0
108,Andrew,Jackson,31,Male,Divorced,9,No Degree,Life Sciences,1,13,2011-01-01,0
109,Ashley,Davis,46,Female,Divorced,3,Bachelor's,Technical Degree,2,27.5,2004-12-31,0
110,Donald,Wilson,39,Male,Single,6,Bachelor's,Marketing,1,11,2014-01-01,0
