borrower_id,first_name,last_name,age,gender,marital_status,distance_from_branch_miles,education_level,occupation_sector,num_previous_lenders,total_employment_years,account_open_date,default_flag
1,Linda,Smith,42.0,Female,Married,10.0,Bachelor's,Human Resources,0.0,21.0,2004-01-01,1
3,Jessica,Jones,36.0,Female,DIVORCED,8.0,Bachelor's,Medical,1.0,22.0,2004-01-01,0
4,Linda,Moore,32.0,Female,Married,19.0,bachelor's,Life Sciences,1.0,11.0,2014-01-01,0
5,Jennifer,Jackson,19.0,Female,Single,3.0,No Degree,Medical,1.0,1.1,2023-01-01,0
6,Margaret,Johnson,29.0,Femaale,Married,10.0,Bachelor's,Medical,4.0,13.0,2012-12-31,0
7,James,Williams,31.0,Maale,Divorced,7.0,Master's,LifeSciences,3.0,11.0,2016-12-31,0
8,Richard,Davis,,Male,Married,,Master's,Marketing,0.0,4.0,2020-12-31,0
9,Dorothy,Martin,31.0,Female,Married,1.0,No Degree,Life Sciences,1.0,4.0,2020-01-01,0
10,Mary,Moore,29.0,Female,Married,2.0,None,Life Sciences,0.0,4.0,2020-12-31,0
11,Richard,Moore,35.0,male,Single,1.0,Bachelor's,Medical,1.0,6.0,2017-12-31,1
13,Sandra,Jackson,25.0,Female,Single,4.0,Bachelor's,Life Science,1.0,1.0,2023-01-01,0
14,Charles,Smith,39.0,Male,Single,23.0,Bachelor's,Medical,0.0,6.6,2019-01-01,1
16,Christopher,Rodriguez,27.0,M,Divorsed,4.0,Some College,Life Sciences,1.0,5.5,2019-01-01,0
17,William,Miller,34.0,M,Divorced,19.0,Some College,Medical,0.0,3.3,2022-01-01,0
18,Christopher,Brown,20.0,Male,Single,3.0,Bachelar's,Life Sciences,1.0,2.2,,0
19,Jennifer,Gonzalez,47.0,FEMALE,Maried,2.0,Some College,Marketing,0.0,8.0,2016-12-31,0
20,Michael,Lopez,33.0,Male,Single,1.0,MASTER'S,Other,1.0,11.0,2014-01-01,0
21,Daniel,Martin,43.0,Male,divored,6.0,Master's,Other,4.0,21.0,2023-01-01,0
22,Sarah,Johnson,34.0,F,Divorced,6.0,Some College,Marketing,0.0,3.0,2022-01-01,1
23,Sandra,Moore,35.0,Female,Divorced,2.0,Bachelor's,Life Sciences,1.0,1.1,,1
24,Michael,Gonzalez,43.0,mAle,Single,2.0,Some College,Technical Degree,0.0,,2016-01-01,1
25,Jennifer,Moore,36.0,Female,Single,18.0,No Degree,Medical,1.0,8.8,2016-01-01,0
26,Thomas,Martin,,M,Married,6.0,Some College,Medical,8.0,7.0,2022-01-01,0
28,Richard,Williams,36.0,Male,Singel,2.0,Master's,Life Sciences,3.0,7.7,2020-12-31,1
29,John,Davis,53.0,Maale,Single,2.0,No Degre,Medical,7.0,31.0,2015-01-01,0
30,Karen,Williams,37.0,Female,Single,1.0,Bachelor's,Life Sciences,1.0,17.0,2007-01-01,0
31,Jessica,Brown,49.0,Female,Married,6.0,No Degree,LIFE SCIENCES,2.0,33.0,,0
33,Mark,Lopez,31.0,MALE,Single,9.0,Some College,Medical,0.0,4.0,,0
34,David,Lopez,26.0,Male,Divorced,17.0,Some College,Medical,1.0,11.0,2014-01-01,0
35,Daniel,Miller,38.0,Male,Married,,Doctoral/Professional,Life Sciences,9.0,5.5,2020-12-31,0
36,Charles,Williams,48.0,Male,Single,6.0,Bachelor's,Life Sciences,2.0,20.9,,0
38,Kimberly,Davis,43.0,F,Single,28.0,Some College,Technical Degree,1.0,21.0,2003-01-01,0
39,David,Anderson,38.0,M,Married,1.0,Master's,Life Sciences,1.0,24.2,2001-12-31,0
40,Matthew,Rodriguez,34.0,Mail,Married,11.0,bachelor's,Life Sciences,4.0,14.0,2014-01-01,0
41,Kimberly,Davis,30.0,Female,Married,17.0,Master's,Medical,1.0,9.9,2015-01-01,0
42,Christopher,Johnson,55.0,MALE,Single,2.0,No Degree,Medical,4.0,12.0,2015-01-01,1
44,Christopher,Gonzalez,40.0,Male,Single,2.0,Master's,Life Sciences,2.0,8.0,2022-01-01,0
45,Sarah,Williams,32.0,Female,Single,1.0,Master's,LIFE SCIENCES,2.0,11.0,2020-01-01,0
46,Richard,Jackson,21.0,Male,Single,20.0,No Degree,Life Sciences,0.0,5.5,,0
47,Christopher,Miller,25.0,Male,Maried,3.0,No degree,Other,1.0,5.0,2019-01-01,0
48,Donald,Gonzalez,36.0,Male,Divorced,15.0,Bachelor's,other,7.0,9.0,,1
49,Mark,Jones,22.0,male,DIVORCED,21.0,Some College,Technical Degree,0.0,2.0,2023-01-01,0
50,Charles,Jones,44.0,Male,divorced,4.0,Some College,Life Sciences,1.0,26.0,1999-01-01,0
51,Jessica,Moore,36.0,Female,Single,2.0,Masteer,Life Sciences,9.0,19.8,2008-01-01,0
52,Paul,Rodriguez,33.0,Male,Sngle,27.0,Bachelor's,Life Sciences,1.0,10.0,,1
