payment_id,borrower_id,payment_date,payment_type,amount_usd,on_time,processor_ref
1,1,2023-09-13,Advance Payment,15482.05,Yes,Matthew Garcia
2,1,2023-01-30,Fee Payment,14297.21,Yes,John Gonzalez
3,1,2023-09-11,Minimum Payment,23955.09,Yes,Sandra Williams
4,1,2023-09-01,Late Payment Recovery,16587.89,Yes,Kenneth Jones
5,1,2023-05-15,Scheduled Installment,24863.29,Yes,Karen Hernandez
6,1,2022-03-31,Late Payment Recovery,16231.81,No,James Williams
7,1,2022-04-30,Balance Transfer,18028.32,Yes,Robert Hernandez
8,1,2022-02-22,Advance Payment,17012.46,No,Sandra Jones
9,1,2021-04-10,Restructured Payment,21217.33,No,Robert Brown
10,1,2020-12-22,Restructured Payment,12303.37,Yes,Patricia Gonzalez
11,1,2020-07-19,Minimum Payment,15651.11,Yes,Joseph Martin
12,2,2023-04-02,Early Repayment,1628.04,Yes,Joseph Williams
13,2,2023-06-26,Restructured Payment,1897.1,No,Daniel Williams
14,2,2023-04-19,Fee Payment,2108.67,Yes,Anthony Martin
15,2,2023-07-22,Early Repayment,1856.21,Yes,Karen Wilson
16,2,2023-09-08,Early Repayment,2693.09,No,William Jackson
17,2,2023-11-24,Early Repayment,1779.66,No,Andrew Jones
18,2,2022-04-04,Balance Transfer,1458.63,Yes,Sandra Garcia
19,2,2021-07-14,Advance Payment,2410.56,Yes,Barbara Hernandez
20,2,2021-11-04,Fee Payment,2560.33,Yes,Donna Miller
21,2,2020-01-28,Advance Payment,1934.66,Yes,Patricia Williams
22,3,2023-10-05,Fee Payment,2165.41,Yes,Kimberly Lopez
23,3,2023-02-08,Balance Transfer,3753.21,Yes,Ashley Jackson
24,3,2023-06-10,Restructured Payment,3788.68,No,Jessica Martinez
25,3,2022-09-12,Restructured Payment,3066.79,Yes,Nancy Wilson
26,3,2022-02-12,Balance Transfer,3074.72,Yes,Paul Lopez
27,3,2021-03-02,Minimum Payment,2433.13,Yes,Emily Martinez
28,3,2020-09-01,Partial Payment,2120.33,No,Karen Garcia
29,3,2020-02-10,Minimum Payment,2364.5,No,Mark Davis
30,4,2023-10-14,Late Payment Recovery,3744.28,Yes,Thomas Martin
31,4,2023-11-15,Scheduled Installment,3003.91,Yes,Jessica Jackson
32,4,2023-02-06,Restructured Payment,4532.32,Yes,Nancy Anderson
